listing_id,name,city,state,country,bedrooms,beds,bathrooms,accomodation_total,host_name,host_id,latitude,longitude,room_type,picture_url,amenities
32721035,Cozy & Relaxing Suite: Pool/Movie Screen/Trails,Fayetteville,Arkansas,United States,1,2,1.0,$51, ,9209266,36.40187,-94.22518,Entire home/apt,https://a0.muscache.com/im/pictures/43831c7d-21e3-4288-8e98-8a606e594e83.jpg?im_w=720,"[1, 4, 5, 7, 8, 9, 137, 522, 139, 657, 146, 23, 663, 280, 153, 665, 27, 30, 415, 672, 35, 36, 37, 39, 40, 41, 44, 45, 46, 47, 51, 179, 308, 53, 56, 57, 185, 60, 322, 70, 72, 73, 77, 79, 85, 86, 89, 90, 219, 476, 93, 611, 100, 101, 627, 251]"
32721035,Cozy & Relaxing Suite: Pool/Movie Screen/Trails,Springdale,Arkansas,United States,1,2,1.0,$51, ,9209266,36.40187,-94.22518,Entire home/apt,https://a0.muscache.com/im/pictures/43831c7d-21e3-4288-8e98-8a606e594e83.jpg?im_w=720,"[1, 4, 5, 7, 8, 9, 137, 522, 139, 657, 146, 23, 663, 280, 153, 665, 27, 30, 415, 672, 35, 36, 37, 39, 40, 41, 44, 45, 46, 47, 51, 179, 308, 53, 56, 57, 185, 60, 322, 70, 72, 73, 77, 79, 85, 86, 89, 90, 219, 476, 93, 611, 100, 101, 627, 251]"
716775750471914598,*NEW* Small Escape w/ Hottub and walk-in shower,Rogers,Arkansas,United States,2,2,1.0,$144, ,142728393,36.424147468449405,-94.24503656508178,Entire home/apt,https://a0.muscache.com/im/pictures/miso/Hosting-716775750471914598/original/babf5601-cf68-47e7-bdd2-696d41e48926.jpeg?im_w=720,"[1, 4, 5, 8, 392, 9, 522, 139, 657, 280, 25, 665, 30, 415, 671, 672, 33, 34, 35, 36, 37, 39, 40, 41, 44, 45, 179, 308, 57, 185, 73, 77, 85, 86, 89, 90, 91, 219, 93, 94, 95, 96, 99, 227, 611, 100, 101, 104, 625, 626, 251]"
43459604,"50"" HD SMART TV, Great Local Coffee, FAST WiFi",Fayetteville,Arkansas,United States,0,1,1.0,$84, ,344237506,34.5287,-93.05261,Entire home/apt,https://a0.muscache.com/im/pictures/8733cc87-4334-4fdd-a1ca-49f4f599a09d.jpg?im_w=720,"[1, 2, 4, 5, 9, 73, 394, 77, 79, 16, 657, 146, 85, 86, 23, 663, 89, 665, 90, 476, 30, 415, 671, 672, 33, 34, 98, 35, 611, 37, 39, 40, 104, 41, 42, 44, 45, 46, 51, 52, 57]"
43459604,"50"" HD SMART TV, Great Local Coffee, FAST WiFi",Springdale,Arkansas,United States,0,1,1.0,$84, ,344237506,34.5287,-93.05261,Entire home/apt,https://a0.muscache.com/im/pictures/8733cc87-4334-4fdd-a1ca-49f4f599a09d.jpg?im_w=720,"[1, 2, 4, 5, 9, 73, 394, 77, 79, 16, 657, 146, 85, 86, 23, 663, 89, 665, 90, 476, 30, 415, 671, 672, 33, 34, 98, 35, 611, 37, 39, 40, 104, 41, 42, 44, 45, 46, 51, 52, 57]"
37084019,Best Way Cottage at Shady Oaks.,Rogers,Arkansas,United States,1,2,1.0,$71, ,67799392,35.19591,-94.21497,Entire home/apt,https://a0.muscache.com/im/pictures/8b95aa92-a62b-4927-94c1-eac6becf8d8f.jpg?im_w=720,"[1, 2, 515, 4, 5, 8, 9, 139, 12, 77, 85, 86, 89, 90, 27, 91, 219, 93, 30, 94, 95, 671, 96, 35, 99, 36, 100, 37, 101, 39, 103, 40, 104, 42, 44, 236, 45, 46, 625, 626, 51, 627, 308, 54, 57, 251, 61]"
740090183397449661,Luxury Private Downstairs Suite,Fayetteville,Arkansas,United States,1,2,1.0,$67, ,484049892,34.6660355,-93.0200146,Entire home/apt,https://a0.muscache.com/im/pictures/miso/Hosting-740090183397449661/original/792f2587-ef44-421b-be9a-944cc556edf5.jpeg?im_w=720,"[1, 4, 5, 8, 392, 9, 137, 394, 139, 657, 280, 665, 27, 30, 415, 671, 672, 33, 34, 35, 36, 37, 39, 40, 41, 44, 45, 51, 179, 53, 57, 322, 73, 74, 77, 85, 86, 89, 90, 91, 219, 92, 93, 94, 95, 96, 99, 611, 232, 236, 625, 626, 251, 510]"
740090183397449661,Luxury Private Downstairs Suite,Springdale,Arkansas,United States,1,2,1.0,$67, ,484049892,34.6660355,-93.0200146,Entire home/apt,https://a0.muscache.com/im/pictures/miso/Hosting-740090183397449661/original/792f2587-ef44-421b-be9a-944cc556edf5.jpeg?im_w=720,"[1, 4, 5, 8, 392, 9, 137, 394, 139, 657, 280, 665, 27, 30, 415, 671, 672, 33, 34, 35, 36, 37, 39, 40, 41, 44, 45, 51, 179, 53, 57, 322, 73, 74, 77, 85, 86, 89, 90, 91, 219, 92, 93, 94, 95, 96, 99, 611, 232, 236, 625, 626, 251, 510]"
54301308,EscapeToDaY Private+Waterfront+Hot Tub+Trails+Kaya,Rogers,Arkansas,United States,1,2,1.0,$74, ,298856546,36.45429,-94.27403,Entire home/apt,https://a0.muscache.com/im/pictures/prohost-api/Hosting-54301308/original/48a58899-22e4-4e24-9fae-b5022b72c63a.jpeg?im_w=720,"[1, 4, 132, 5, 133, 9, 139, 77, 79, 657, 146, 85, 86, 23, 663, 280, 664, 25, 89, 90, 219, 30, 415, 671, 672, 35, 99, 611, 36, 100, 37, 101, 39, 40, 104, 41, 44, 172, 45, 51, 179, 53, 57, 61]"
671936911315524295,Charming log cabin set in the country with wifi.,Fayetteville,Arkansas,United States,1,1,1.0,$79, ,366263609,35.54270316071618,-94.27839454788514,Entire home/apt,https://a0.muscache.com/im/pictures/miso/Hosting-671936911315524295/original/2f8c422d-3bbd-4b19-a430-b820eb92beb2.jpeg?im_w=720,"[1, 131, 4, 5, 8, 9, 137, 77, 79, 657, 85, 86, 90, 91, 93, 30, 94, 95, 415, 671, 96, 35, 36, 100, 37, 101, 39, 40, 41, 236, 625, 308, 251, 510]"
